545,522,20,10,1
285,567,20,10,0
114,786,40,20,1
738,709,40,20,1
578,889,20,10,1
303,468,40,20,2
711,655,40,20,2
819,410,40,20,0
649,180,20,10,1
423,586,20,10,3
876,305,20,10,1
753,728,20,10,2
727,621,40,20,0
505,770,20,10,1
24,946,20,10,1
591,58,20,10,1
242,194,40,20,2
975,909,20,10,1
714,706,20,10,2
217,38,40,20,1
655,733,20,10,1
141,489,40,20,0
125,759,40,20,0
285,609,40,20,0
230,815,40,20,0
632,227,40,20,2
9,848,40,20,0
399,721,20,10,1
491,730,40,20,1
507,325,20,10,2
34,707,40,20,2
188,434,40,20,3
546,523,20,10,0
564,145,40,20,2
344,204,20,10,0
885,590,40,20,0
0,900,20,10,2
577,869,40,20,2
209,749,40,20,2
901,801,20,10,1
702,170,20,10,1
374,557,20,10,2
202,908,40,20,1
102,889,40,20,0
104,378,40,20,0
418,667,20,10,1
605,168,40,20,0
657,83,40,20,1
210,554,40,20,2
515,75,40,20,1
769,979,40,20,2
828,818,40,20,0
853,649,40,20,0
654,883,40,20,1
940,797,40,20,3
647,833,40,20,2
487,818,20,10,0
631,183,20,10,1
948,197,40,20,0
964,893,20,10,2
829,672,40,20,2
550,39,40,20,1
37,358,20,10,2
669,334,40,20,0
129,661,20,10,1
945,98,40,20,1
53,546,20,10,2
317,269,20,10,1
918,344,20,10,2
706,753,20,10,1
73,155,20,10,1
195,894,20,10,0
933,468,20,10,2
625,585,20,10,2
914,572,20,10,1
841,921,20,10,1
444,371,20,10,2
620,771,20,10,2
353,961,20,10,0
442,965,20,10,2
968,583,20,10,2
658,690,20,10,1
262,867,20,10,3
270,83,20,10,2
826,308,20,10,1
809,981,20,10,2
32,955,20,10,1
750,762,20,10,1
278,186,20,10,3
171,490,20,10,2
866,915,20,10,0
521,185,20,10,2
292,791,20,10,1
591,47,20,10,1
693,614,20,10,1
482,688,20,10,3
559,705,20,10,1
547,30,20,10,0
452,260,20,10,2
271,738,20,10,2
496,517,20,10,2
303,951,20,10,1
529,418,20,10,1
585,702,20,10,0
94,66,20,10,2
942,61,20,10,0
487,593,20,10,1
724,172,20,10,0
411,530,20,10,2
306,133,20,10,2
940,445,20,10,0
503,485,20,10,0
3,125,20,10,2
689,224,20,10,3
798,985,20,10,0
679,742,20,10,1
241,99,20,10,0
438,660,20,10,0
429,861,20,10,1
471,919,20,10,2
545,881,20,10,0
769,653,20,10,3
67,887,20,10,2
857,431,20,10,1
572,442,20,10,2
700,560,20,10,1
904,124,20,10,2
260,445,20,10,2
881,261,20,10,0
911,440,20,10,0
769,838,20,10,2
711,306,20,10,2
233,642,20,10,0
379,326,20,10,1
394,936,20,10,2
213,583,20,10,2
334,346,20,10,2
517,82,20,10,1
738,265,20,10,2
878,85,20,10,1
555,534,20,10,0
609,782,20,10,2
976,460,20,10,2
266,104,20,10,2
375,301,20,10,1
822,168,20,10,0
692,652,20,10,1
744,947,20,10,1
362,417,20,10,1
941,346,20,10,2
474,828,20,10,0
513,188,20,10,1
634,700,20,10,0
30,951,20,10,1
477,823,20,10,0
958,658,20,10,3
776,695,20,10,2
58,803,20,10,2
787,817,20,10,1
777,936,20,10,0
638,986,20,10,0
975,367,20,10,2
283,478,20,10,2
421,668,20,10,2
476,275,20,10,0
92,597,20,10,1
914,837,20,10,2
325,902,20,10,2
618,473,20,10,2
161,807,20,10,2
604,314,20,10,0
43,51,20,10,2
806,684,20,10,1
550,409,20,10,1
604,537,20,10,1
685,284,20,10,1
28,366,20,10,2
336,635,20,10,2
582,180,20,10,2
547,559,20,10,2
786,531,20,10,2
734,822,20,10,2
607,845,20,10,1
112,116,20,10,0
291,445,20,10,0
21,51,20,10,0
528,708,20,10,1
582,500,20,10,1
741,959,20,10,3
207,588,20,10,2
803,989,20,10,0
160,2,20,10,2
487,606,20,10,1
561,685,20,10,1
821,601,20,10,2
233,734,20,10,2
892,832,20,10,1
652,918,20,10,0
526,479,20,10,0
195,903,20,10,0
